date,data_type,source,ingested_at,obs_tmax_c,obs_tmin_c,obs_precip_mm,fc_tmax_c,fc_tmin_c,fc_precip_mm
2025-09-01,historical,ECCC,2025-10-02 23:42:45,25.7,4.8,0.0,,,
2025-09-02,historical,ECCC,2025-10-02 23:42:45,24.5,7.8,0.0,,,
2025-09-03,historical,ECCC,2025-10-02 23:42:45,25.0,5.7,0.0,,,
2025-09-04,historical,ECCC,2025-10-02 23:42:45,15.0,1.4,12.5,,,
2025-09-05,historical,ECCC,2025-10-02 23:42:45,18.6,0.8,17.0,,,
2025-09-06,historical,ECCC,2025-10-02 23:42:45,15.2,6.9,0.0,,,
2025-09-07,historical,ECCC,2025-10-02 23:42:45,15.4,4.5,0.4,,,
2025-09-08,historical,ECCC,2025-10-02 23:42:45,16.3,0.1,0.0,,,
2025-09-09,historical,ECCC,2025-10-02 23:42:45,20.1,-0.7,0.0,,,
2025-09-10,historical,ECCC,2025-10-02 23:42:45,22.8,1.7,0.0,,,
2025-09-11,historical,ECCC,2025-10-02 23:42:45,20.1,3.4,0.0,,,
2025-09-12,historical,ECCC,2025-10-02 23:42:45,20.6,-0.5,0.0,,,
2025-09-13,historical,ECCC,2025-10-02 23:42:45,22.8,10.0,0.7,,,
2025-09-14,historical,ECCC,2025-10-02 23:42:45,21.3,6.0,0.0,,,
2025-09-15,historical,ECCC,2025-10-02 23:42:45,23.1,3.0,0.0,,,
2025-09-16,historical,ECCC,2025-10-02 23:42:45,25.3,3.1,0.0,,,
2025-09-17,historical,ECCC,2025-10-02 23:42:45,26.3,4.1,0.0,,,
2025-09-18,historical,ECCC,2025-10-02 23:42:45,22.9,6.9,0.0,,,
2025-09-19,historical,ECCC,2025-10-02 23:42:45,17.1,-0.2,0.0,,,
2025-09-20,historical,ECCC,2025-10-02 23:42:45,17.5,-2.7,0.0,,,
2025-09-21,historical,ECCC,2025-10-02 23:42:45,24.6,-3.3,1.1,,,
2025-09-22,historical,ECCC,2025-10-02 23:42:45,20.5,14.2,1.5,,,
2025-09-23,historical,ECCC,2025-10-02 23:42:45,20.7,15.0,16.4,,,
2025-09-24,historical,ECCC,2025-10-02 23:42:45,21.1,13.3,13.4,,,
2025-09-25,historical,ECCC,2025-10-02 23:42:45,17.6,11.8,0.0,,,
2025-09-26,historical,ECCC,2025-10-02 23:42:45,19.3,11.8,0.0,,,
2025-09-27,historical,ECCC,2025-10-02 23:42:46,21.6,7.9,0.0,21.2,9.1,0.0
2025-09-28,historical,ECCC,2025-10-02 23:42:46,22.4,5.4,0.0,21.0,9.5,0.0
2025-09-29,historical,ECCC,2025-10-02 23:42:46,24.7,2.4,0.0,23.3,5.2,0.0
2025-09-30,historical,ECCC,2025-10-02 23:42:46,19.1,2.3,0.0,18.8,6.7,0.0
2025-10-01,forecast,OpenMeteo,,,,,16.5,1.5,0.0
2025-10-02,forecast,OpenMeteo,,,,,19.4,0.7,0.0
2025-10-03,forecast,OpenMeteo,,,,,22.0,4.6,0.0
2025-10-04,forecast,OpenMeteo,,,,,25.5,10.8,0.0
2025-10-05,forecast,OpenMeteo,,,,,27.6,14.9,0.0
2025-10-06,forecast,OpenMeteo,,,,,26.6,13.2,0.0
2025-10-07,forecast,OpenMeteo,,,,,15.9,8.0,6.5
2025-10-08,forecast,OpenMeteo,,,,,8.0,-1.1,0.0
2025-10-09,forecast,OpenMeteo,,,,,11.2,-1.6,0.0
2025-10-10,forecast,OpenMeteo,,,,,14.0,-0.2,0.0
2025-10-11,forecast,OpenMeteo,,,,,17.6,2.2,0.0
2025-10-12,forecast,OpenMeteo,,,,,16.5,5.1,4.2
2025-10-13,forecast,OpenMeteo,,,,,15.6,10.6,1.5
2025-10-14,forecast,OpenMeteo,,,,,11.8,6.7,0.9
2025-10-15,forecast,OpenMeteo,,,,,8.5,6.6,0.0
2025-10-16,forecast,OpenMeteo,,,,,8.1,4.9,5.7
2025-10-17,forecast,OpenMeteo,,,,,5.0,3.8,0.0
